asset,length,category,keyword,first issued,ask price
KIERKEGAARD,11,Philosophy,Other,1447992724,10
KIPO,4,Finance,IPO,1444081139,10
KITT,4,Brandable,Other,1444172820,10
KLLC,4,Business,LLC,1444073482,10
KLTD,4,Business,LTD,1444084382,10
KMONEY,6,Currency,MONEY,1444084382,100
KSHARE,6,Finance,SHARE,1444079910,5
KSTOCK,6,Finance,STOCK,1444081139,5
KSTOCKS,7,Finance,STOCK,1444081139,5
KTRADE,6,Finance,TRADE,1444103476,5
LAAA,4,Acronym,AAA,1444150908,10
LALA,4,Brandable,Other,1443143217,10
LAPS,4,Dictionary,Other,1444172820,25
LCOIN,5,Currency,COIN,1444075253,100
LCOM,4,Internet,COM,1444162839,10
LCOMPANY,8,Business,COMPANY,1444069478,5
LCORP,5,Business,CORP,1444073482,5
LELE,4,Brandable,Other,1449975485,10
LFUND,5,Finance,FUND,1444077100,5
LIANG,5,Name,Other,1444165380,10
LLCA,4,Business,LLC,1444073482,10
LLCC,4,Business,LLC,1444073482,10
LLCS,4,Business,LLC,1444073482,10
LLCX,4,Business,LLC,1444073482,10
LLLC,4,Business,LLC,1444073482,10
LLTD,4,Business,LTD,1444084382,10
LMONEY,6,Currency,MONEY,1444084382,100
LOCA,4,Spanish,Other,1449975485,10
LOCH,4,Dictionary,Other,1444172820,25
LOTO,4,Brandable,Other,1443475730,10
LOTT,4,Brandable,Other,1444172820,10
LOVER,5,Dictionary,LOVE,1444172820,25
LOVV,4,Brandable,LOVE,1444172820,10
LSHARE,6,Finance,SHARE,1444079910,5
LSHARES,7,Finance,SHARE,1444073482,5
LSTOCK,6,Finance,STOCK,1444081139,5
LSTOCKS,7,Finance,STOCK,1444081139,5
LTDB,4,Business,LTD,1444084382,10
LTDC,4,Business,LTD,1444084382,10
LTDD,4,Business,LTD,1444084382,10
LTDE,4,Business,LTD,1444084382,10
LTDS,4,Business,LTD,1444084382,10
LTDX,4,Business,LTD,1444084382,10
LTRADE,6,Finance,TRADE,1444103476,5
LUVV,4,Brandable,LOVE,1444172820,10
MAAA,4,Acronym,AAA,1444150908,10
MACA,4,Spanish,Other,1443143217,10
MAGMA,5,Dictionary,Other,1444172820,25
MANO,4,Spanish,Other,1449975485,10
MANOR,5,Dictionary,Other,1444172820,25
MAPA,4,Spanish,Other,1443475730,10
MAPAS,5,Spanish,Other,1444169691,10
MAXED,5,Dictionary,Other,1444172820,25
MAXWELL,7,Name,Other,1444165380,10
MAXX,4,Brandable,Other,1444172820,10
MAYAN,5,Mythology,Other,1444172820,10
MBET,4,Gambling,BET,1443475730,10
MBETS,5,Gambling,BET,1444172820,10
MBLOCK,6,Bitcoin,BLOCK,1444149258,5
MCDONALD,8,Name,Other,1444165380,10
MCOM,4,Internet,COM,1444162839,10
MCOMPANY,8,Business,COMPANY,1444069478,5
MCORP,5,Business,CORP,1444073482,5
MEAD,4,Dictionary,Other,1444172820,25
MEDUSA,6,Mythology,Other,1444165150,10
MERA,4,Spanish,Other,1443143217,10
